S.NO,Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings_Usmillion
117,Mike Tyson,USA,7,3,boxing,2002,23
118,Kevin Garnett,USA,7,10,basketball,2002,23
119,Kobe Bryant,USA,9,>10,basketball,2002,22
120,Jacques Villeneuve,Canada,10,>10,auto racing,2002,20
121,Jeff Gordon,USA,10,>10,auto racing (nascar),2002,20
122,Tiger Woods,USA,1,1,golf,2003,78
123,Michael Schumacher,Germany,2,2,f1 motorsports,2003,75
124,Michael Jordan,USA,3,3,basketball,2003,35
125,Shaq O'Neal,USA,4,5,basketball,2003,30.5
126,Oscar De La Hoya,USA,5,>10,boxing,2003,30
127,Kevin Garnett,USA,6,7,basketball,2003,28
128,Alex Rodriguez,USA,7,>10,baseball,2003,26
129,Grant Hill,USA,8,5,basketball,2003,25.5
130,Andre Agassi,USA,9,>10,tennis,2003,24
131,Jacques Villeneuve,Canada,10,10,auto racing,2003,23
132,Tiger Woods,USA,1,1,golf,2004,80.3
133,Michael Schumacher,Germany,2,2,f1 racing,2004,80
134,Peyton Manning,USA,3,>10,american football,2004,42
135,Michael Jordan,USA,4,3,basketball,2004,35
136,Shaquille O'Neal,USA,5,4,basketball,2004,31.9
137,Kevin Garnett,USA,6,6,basketball,2004,29.7
138,Andre Agassi,USA,7,9,tennis,2004,28.2
139,David Beckham,UK,8,>10,soccer,2004,28
140,Alex Rodriguez,USA,9,7,baseball,2004,26.2
141,Kobe Bryant,USA,10,>10,basketball,2004,26.1
142,Tiger Woods,USA,1,1,golf,2005,87
143,Michael Schumacher,Germany,2,2,f1 racing,2005,60
144,Oscar De La Hoya,USA,3,>10,boxing,2005,38
145,Michael Vick,USA,4,>10,american football,2005,37.5
146,Shaquille O'Neal,USA,5,5,basketball,2005,33.4
147,Michael Jordan,USA,6,4,basketball,2005,33
148,David Beckham,UK,7,8,soccer,2005,32.5
149,Kobe Bryant,USA,8,10,basketball,2005,28.8
150,Lance Armstrong,USA,9,>10,cycling,2005,28
151,Valentino Rossi,Italy,9,>10,motorcycle gp,2005,28
152,Tiger Woods,USA,1,1,golf,2006,90
153,Michael Schumacher,Germany,2,2,f1 racing,2006,58
154,Muhammad Ali,USA,3,>10,boxing,2006,55
155,Phil Mickelson,USA,4,>10,golf,2006,47
156,Michael Jordan,USA,5,6,basketball,2006,32
157,Kobe Bryant,USA,6,8,basketball,2006,31
158,Shaquille O'Neal,USA,7,5,basketball,2006,30
159,Valentino Rossi,Italy,8,9,motorcycle gp,2006,30
160,Alex Rodriguez,USA,9,>10,baseball,2006,29
161,Tom Brady,USA,9,>10,american football,2006,29
162,Tiger Woods,USA,1,1,golf,2007,100
163,Oscar De La Hoya,USA,2,>10,boxing,2007,43
164,Phil Mickelson,USA,3,4,golf,2007,42
165,Kimi Raikkonen,Finland,4,>10,f1 racing,2007,40
166,Michael Schumacher,Germany,5,2,f1 racing,2007,36
167,David Beckham,UK,6,>10,soccer,2007,33
168,Kobe Bryant,USA,6,>10,basketball,2007,33
169,Shaquille O'Neal,USA,8,7,basketball,2007,32
170,Ronaldinho,Brazil,9,>10,soccer,2007,31
171,Michael Jordan,USA,9,5,basketball,2007,31
172,Tiger Woods,USA,1,1,golf,2008,115
173,David Beckham,UK,2,6,soccer,2008,50
174,Michael Jordan,USA,3,9,basketball,2008,45
175,Phil Mickelson,USA,3,3,golf,2008,45
176,Kimi Raikkonen,Finland,5,4,f1 racing,2008,44
177,Kobe Bryant,USA,6,7,basketball,2008,39
178,LeBron James,USA,7,>10,basketball,2008,38
179,Ronaldinho,Brazil,8,9,soccer,2008,37
180,Valentino Rossi,Italy,9,>10,motorcycle gp,2008,35
181,Roger Federer,Switzerland,9,>10,tennis,2008,35
182,Tiger Woods,USA,1,1,golf,2009,110
183,Kobe Bryant,USA,2,6,basketball,2009,45
184,Michael Jordan,USA,2,3,basketball,2009,45
185,Kimi Raikkonen,Finland,2,5,f1 racing,2009,45
186,David Beckham,UK,5,2,soccer,2009,42
187,LeBron James,USA,6,7,basketball,2009,40
188,Phil Mickelson,USA,6,3,golf,2009,40
189,Manny Pacquiao,Philippines,6,>10,boxing,2009,40
190,Valentino Rossi,Italy,9,9,motorcycle gp,2009,35
191,Dale Earnhardt Jr.,USA,10,>10,nascar,2009,34
192,Tiger Woods,USA,1,1,golf,2010,105
193,Floyd Mayweather,USA,2,>10,boxing,2010,65
194,Kobe Bryant,USA,3,2,basketball,2010,48
195,Phil Mickelson,USA,4,6,golf,2010,46
196,David Beckham,UK,5,5,soccer,2010,43.7
197,Roger Federer,Switzerland,6,>10,tennis,2010,43
198,LeBron James,USA,7,6,basketball,2010,42.8
199,Manny Pacquiao,Philippines,8,6,boxing,2010,42
200,Eli Manning,USA,9,>10,american football,2010,39.9
201,Terrell Suggs,USA,10,>10,american football,2010,38.3
202,Tiger Woods,USA,1,1,golf,2011,75
203,Kobe Bryant,USA,2,3,basketball,2011,53
204,LeBron James,USA,3,7,basketball,2011,48
205,Roger Federer,Switzerland,4,6,tennis,2011,47
206,Phil Mickelson,USA,5,4,golf,2011,46.5
207,David Beckham,UK,6,5,soccer,2011,40
208,Cristiano Ronaldo,Portugal,7,13,soccer,2011,38
209,Alex Rodriguez,Dominican,8,12,baseball,2011,35
210,Michael Schumacher,Germany,9,>20,f1 racing,2011,34
211,Lionel Messi,Argentina,10,>20,soccer,2011,32.3
212,Floyd Mayweather,USA,1,?,boxing,2012,85
213,Manny Pacquiao,Filipino,2,24,boxing,2012,62
214,Tiger Woods,USA,3,1,golf,2012,59.4
215,LeBron James,USA,4,3,basketball,2012,53
216,Roger Federer,Switzerland,5,4,tennis,2012,52.7
217,Kobe Bryant,USA,6,2,basketball,2012,52.3
218,Phil Mickelson,USA,7,5,golf,2012,47.8
219,David Beckham,UK,8,6,soccer,2012,46
220,Cristiano Ronaldo,Portugal,9,21,soccer,2012,42.5
221,Peyton Manning,USA,10,7,american football,2012,42.4
222,Tiger Woods,USA,1,3,golf,2013,78.1
223,Roger Federer,Switzerland,2,5,tennis,2013,71.5
224,Kobe Bryant,USA,3,6,basketball,2013,61.9
225,LeBron James,USA,4,4,basketball,2013,59.8
226,Drew Brees,USA,5,?,american football,2013,51
227,Aaron Rodgers,USA,6,?,american football,2013,49
228,Phil Mickelson,USA,7,7,golf,2013,48.7
229,David Beckham,UK,8,8,soccer,2013,47.2
230,Cristiano Ronaldo,Portugal,9,9,soccer,2013,44
231,Lionel Messi,Argentina,10,11,soccer,2013,41.3
232,Floyd Mayweather,USA,1,14,boxing,2014,105
233,Cristiano Ronaldo,Portugal,2,9,soccer,2014,80
234,LeBron James,USA,3,4,basketball,2014,72.3
235,Lionel Messi,Argentina,4,10,soccer,2014,64.7
236,Kobe Bryant,USA,5,3,basketball,2014,61.5
237,Tiger Woods,USA,6,1,golf,2014,61.2
238,Roger Federer,Switzerland,7,2,tennis,2014,56.2
239,Phil Mickelson,USA,8,7,golf,2014,53.2
240,Rafael Nadal,Spain,9,>14,tennis,2014,44.5
241,Matt Ryan,USA,10,>100,american football,2014,43.8
242,Floyd Mayweather,USA,1,1,boxing,2015,300
243,Manny Pacquiao,Philippines,2,11,boxing,2015,160
244,Cristiano Ronaldo,Portugal,3,2,soccer,2015,79.6
245,Lionel Messi,Argentina,4,4,soccer,2015,73.8
246,Roger Federer,Switzerland,5,7,tennis,2015,67
247,LeBron James,USA,6,3,basketball,2015,64.8
248,Kevin Durant,USA,7,20,basketball,2015,54.2
249,Phil Mickelson,USA,8,8,golf,2015,50.8
250,Tiger Woods,USA,9,6,golf,2015,50.6
251,Kobe Bryant,USA,10,5,basketball,2015,49.5
252,Cristiano Ronaldo,Portugal,1,3,soccer,2016,88
253,Lionel Messi,Argentina,2,4,soccer,2016,81.4
254,LeBron James,USA,3,6,basketball,2016,77.2
255,Roger Federer,Switzerland,4,5,tennis,2016,67.8
256,Kevin Durant,USA,5,7,basketball,2016,56.2
257,Novak Djokovic,Serbia,6,13,tennis,2016,55.8
258,Cam Newton,USA,7,>20,american football,2016,53.1
259,Phil Mickelson,USA,8,8,golf,2016,52.9
260,Jordan Spieth,USA,9,>20,golf,2016,52.8
261,Kobe Bryant,USA,10,10,basketball,2016,50
262,Cristiano Ronaldo,Portugal,1,1,soccer,2017,93
263,LeBron James,USA,2,3,basketball,2017,86.2
264,Lionel Messi,Argentina,3,2,soccer,2017,80
265,Roger Federer,Switzerland,4,4,tennis,2017,64
266,Kevin Durant,USA,5,5,basketball,2017,60.6
267,Andrew Luck,USA,6,,american football,2017,50
268,Rory McIlroy,Northern Ireland,6,17,golf,2017,50
269,Stephen Curry,USA,8,,basketball,2017,47.3
270,James Harden,USA,9,,basketball,2017,46.6
271,Lewis Hamilton,UK,10,,auto racing,2017,46
272,Floyd Mayweather,USA,1,>100,boxing,2018,285
273,Lionel Messi,Argentina,2,3,soccer,2018,111
274,Cristiano Ronaldo,Portugal,3,1,soccer,2018,108
275,Conor McGregor,Ireland,4,24,mma,2018,99
276,Neymar,Brazil,5,18,soccer,2018,90
277,LeBron James,USA,6,2,basketball,2018,85.5
278,Roger Federer,Switzerland,7,4,tennis,2018,77.2
279,Stephen Curry,USA,8,8,basketball,2018,76.9
280,Matt Ryan,USA,9,>100,american football,2018,67.3
281,Matthew Stafford,USA,10,>100,american football,2018,59.5
282,Lionel Messi,Argentina,1,2,soccer,2019,127
283,Cristiano Ronaldo,Portugal,2,3,soccer,2019,109
284,Neymar,Brazil,3,5,soccer,2019,105
285,Canelo Alvarez,Mexico,4,15,boxing,2019,94
286,Roger Federer,Switzerland,5,7,tennis,2019,93.4
287,Russell Wilson,USA,6,??,american football,2019,89.5
288,Aaron Rogers,USA,7,??,american football,2019,89.3
289,LeBron James,USA,8,6,basketball,2019,89
290,Stephen Curry,USA,9,8,basketball,2019,79.8
291,Kevin Durant,USA,10,11,basketball,2019,65.4
292,Roger Federer,Switzerland,1,5,tennis,2020,106.3
293,Cristiano Ronaldo,Portugal,2,2,soccer,2020,105
294,Lionel Messi,Argentina,3,1,soccer,2020,104
295,Neymar,Brazil,4,3,soccer,2020,95.5
296,LeBron James,USA,5,8,basketball,2020,88.2
297,Stephen Curry,USA,6,9,basketball,2020,74.4
298,Kevin Durant,USA,7,10,basketball,2020,63.9
299,Tiger Woods,USA,8,11,golf,2020,62.3
300,Kirk Cousins,USA,9,>100,american football,2020,60.5
301,Carson Wentz,USA,10,>100,american football,2020,59.1
